[3B],[9A],[19A],[60A],[61A],[62A]|19.8857439999|45.2389365212|PETROVARADIN - ŽELEZNIČKA STANICA|ee018|I
[3B],[9A],[19A],[60A],[61A],[62A],[64A]|19.876524398|45.2488033781|PRERADOVIĆEVA - RELJKOVIĆEVA|ee5714|I
[3B],[9A],[19A]|19.8830977084|45.241791669|PRERADOVIĆEVA - RAČKOG|ee5814|I
[3A],[3B],[9A],[9B],[19A],[19B]|19.8878906109|45.2360062995|PETROVARADIN - OKRETNICA|ee5914|I
[3B],[13A]|19.8104375633|45.2618134201|JANKA ČMELIKA - DEČIJE OBDANIŠTE|ee7515|I
[3B],[11A],[5B],[18A]|19.8204896166|45.2609008436|RUMENAČKA - ABC SAMOPOSLUGA|ee7716|I
[3B],[8A],[18A]|19.8244448578|45.2591224024|KRALJA PETRA I - SAJAM|ee7816|I
[3B],[8A],[18A]|19.8274393446|45.259428265|KRALJA PETRA I - MAŠINSKA ŠKOLA|ee7916|I
[3B],[8A]|19.8329179672|45.2607697725|KRALJA PETRA I - BUL. OSLOBOĐENJA|ee8016|I
[3B],[3AA],[9A],[19A],[60A],[61A],[62A],[64A],[69A]|19.8727083512|45.2516407374|PRERADOVIĆEVA - O.Š. JOVAN DUČIĆ||I
[3B],[5B],[7A],[10B],[14B],[18A]|19.8174016008|45.2636389127|RUMENAČKA - KORNELIJA STANKOVIĆA||I
[1A],[1ZA],[3B],[3AA],[4B],[6B],[8A],[12A],[18A],[19A]|19.844187|45.253337|BUL. MIHAJLA PUPINA - POTHODNIK|ee806|I
[3B],[3AA],[6B],[9A],[16A],[19A],[60A],[61A],[62A],[64A],[69A]|19.8530960428|45.2542765403|BUL. MIHAJLA PUPINA - SONJE MARINKOVIĆ|ee816|I
[3B],[3AA],[9A],[19A],[60A],[61A],[62A],[64A],[69A]|19.8620128358|45.2547734365|BEOGRADSKA - LISINSKOG|ee958|I
[3B],[3AA],[9A],[19A],[69A]|19.8678103709|45.2525866389|PRERADOVIĆEVA - LOVAČKI DOM|ee968|I
[3B],[3AA],[9A],[19A],[60A],[61A],[62A],[64A],[69A]|19.8727083512|45.2516407374|PRERADOVIĆEVA - O.Š. JOVAN DUČIĆ||I
[3AA],[4B],[5B],[5NA],[7A],[10B],[14B],[15B],[18A],[64A],[68A],[69A],[71A],[72A],[73A],[74A],[76A]|19.8353175469|45.2545506888|BUL. OSLOBOÐENJA - NOVOSADSKOG SAJMA|ee3721|I
[2B],[3AA],[4B],[5B],[5NA],[6B],[10B],[14B],[15B],[18A]|19.8377609655|45.2522080286|JEVREJSKA - BUL. OSLOBOĐENJA||I
[3AA],[4B],[5NA],[7A],[10B],[14B],[15B],[18A],[51A],[52A],[53A],[54A],[55A],[60A],[61A],[62A],[64A],[68A],[69A],[71A],[72A],[73A],[74A],[76A],[77A],[78A],[79A],[80A],[81A],[84A]|19.8322222835|45.2601777537|BUL. OSLOBOĐENJA - KRALJA PETRA I|1030|I
[3AA],[4A],[5NB],[11A],[11B],[16B],[17B],[21B],[22B],[23B],[24B],[41B],[42B],[43B],[52B],[53B],[54B],[55B],[56B],[64B],[68B],[69B],[71B],[72B],[73B],[74B],[76B]|19.830132455|45.2650202834|ŽELEZNIČKA STANICA - DOLASCI|ee0646|I
[3AA],[4B],[5NA]|19.8295879176|45.264478508|ŽELEZNIČKA STANICA|ee1346|I
[3AA],[3AB]|19.887341|45.246386|POBEDA|1017|I
[3AA],[4B],[5NA],[7A],[10B],[14B],[15B],[18A],[51A],[52A],[53A],[54A],[55A],[60A],[61A],[62A],[64A],[68A],[69A],[71A],[72A],[73A],[74A],[76A],[77A],[78A],[79A],[80A],[81A],[84A]|19.8322222835|45.2601777537|BUL. OSLOBOĐENJA - KRALJA PETRA I|1036|I
[1B],[1ZB],[3A],[3AB],[4A],[6A],[8B],[12B],[18B],[19B]|19.844141|45.253519|BUL. MIHAJLA PUPINA - POTHODNIK|ee948|I
[3A],[3AB],[9B],[19B],[60B],[61B],[62B],[64B]|19.8757045697|45.2496755784|PRERADOVIĆEVA - BENZINSKA PUMPA|ee6214|I
